boot_id,time_ms,epoch_ms,time_valid,time_str,state,candidate,event,acc,gyro,acc_std,gyro_std,pitch,roll,state_duration_ms,rest_like_ms
a0eefcff,14646,1779346494447,1,"2026-05-21 14:54:54",REST,REST,NONE,1.040,8.71,0.020,14.35,-6.2,31.7,0,0
a0eefcff,17657,1779346497458,1,"2026-05-21 14:54:57",REST,WALK,SCRATCH,0.991,1.96,0.061,83.19,-1.1,-1.5,3010,0
a0eefcff,20666,1779346500467,1,"2026-05-21 14:55:00",REST,REST,NONE,0.991,3.20,0.001,0.49,-0.9,-1.3,6020,0
a0eefcff,23677,1779346503477,1,"2026-05-21 14:55:03",REST,REST,NONE,0.992,2.27,0.001,0.30,-1.0,-1.2,9030,3010
a0eefcff,26686,1779346506487,1,"2026-05-21 14:55:06",REST,REST,NONE,0.992,2.30,0.001,0.20,-0.9,-1.1,12040,6020
a0eefcff,29696,1779346509497,1,"2026-05-21 14:55:09",REST,REST,NONE,0.992,2.13,0.001,0.19,-0.9,-1.0,15050,9030
a0eefcff,32707,1779346512507,1,"2026-05-21 14:55:12",REST,REST,NONE,0.992,2.19,0.000,0.18,-0.9,-0.9,18060,12040
a0eefcff,35716,1779346515517,1,"2026-05-21 14:55:15",REST,REST,NONE,0.991,2.50,0.001,0.41,-0.8,-1.0,21070,15050
a0eefcff,38726,1779346518527,1,"2026-05-21 14:55:18",REST,REST,NONE,0.991,1.88,0.001,0.23,-0.8,-0.9,24080,18060
a0eefcff,41736,1779346521537,1,"2026-05-21 14:55:21",REST,REST,NONE,0.993,2.31,0.001,0.30,-0.9,-0.9,27090,21070
a0eefcff,44746,1779346524547,1,"2026-05-21 14:55:24",REST,REST,NONE,0.988,3.45,0.002,0.94,-0.9,-1.2,30100,24080
a0eefcff,47757,1779346527558,1,"2026-05-21 14:55:27",REST,REST,NONE,0.992,2.35,0.001,0.33,-0.9,-0.8,33110,27090
a0eefcff,50766,1779346530567,1,"2026-05-21 14:55:30",REST,REST,NONE,0.992,2.48,0.001,0.27,-1.0,-1.0,36120,30100
a0eefcff,53776,1779346533577,1,"2026-05-21 14:55:33",REST,REST,NONE,0.992,2.42,0.001,0.23,-0.8,-0.8,39130,33110
a0eefcff,56786,1779346536587,1,"2026-05-21 14:55:36",REST,REST,NONE,0.992,2.56,0.001,0.21,-0.9,-1.0,42140,36120
a0eefcff,59797,1779346539597,1,"2026-05-21 14:55:39",REST,RUN,SHAKE,2.936,374.51,0.252,78.12,18.4,35.7,45150,0
a0eefcff,62807,1779346542608,1,"2026-05-21 14:55:42",REST,PLAY,SHAKE,1.151,543.34,0.865,161.91,9.2,6.2,48160,0
a0eefcff,65816,1779346545617,1,"2026-05-21 14:55:45",REST,PLAY,NONE,0.707,142.03,0.306,177.67,-14.4,-28.0,51170,0
a0eefcff,68826,1779346548627,1,"2026-05-21 14:55:48",PLAY,PLAY,NONE,0.922,286.73,0.675,182.57,39.3,-9.9,0,0
a0eefcff,71837,1779346551637,1,"2026-05-21 14:55:51",PLAY,PLAY,SHAKE,1.065,354.32,0.720,98.55,40.8,-102.2,3010,0
a0eefcff,74837,1779346554637,1,"2026-05-21 14:55:54",PLAY,PLAY,SHAKE,1.922,386.84,0.870,130.39,-4.0,117.3,6010,0
a0eefcff,77847,1779346557648,1,"2026-05-21 14:55:57",PLAY,RUN,NONE,1.948,91.65,0.804,73.80,-1.0,-2.3,9020,0
a0eefcff,80857,1779346560657,1,"2026-05-21 14:56:00",PLAY,PLAY,NONE,1.507,238.28,0.880,103.80,12.3,-42.1,12030,0
a0eefcff,83866,1779346563667,1,"2026-05-21 14:56:03",PLAY,RUN,NONE,0.671,88.33,0.696,42.93,12.0,-14.8,15040,0
a0eefcff,86877,1779346566677,1,"2026-05-21 14:56:06",PLAY,PLAY,NONE,0.764,59.31,0.967,113.25,10.5,7.9,18050,0
a0eefcff,89886,1779346569687,1,"2026-05-21 14:56:09",PLAY,RUN,NONE,1.116,62.54,0.372,112.61,8.3,-37.4,21060,0
a0eefcff,92896,1779346572697,1,"2026-05-21 14:56:12",PLAY,RUN,NONE,0.625,43.56,0.556,98.78,-31.0,19.7,24070,0
a0eefcff,95907,1779346575707,1,"2026-05-21 14:56:15",PLAY,PLAY,JUMP,2.485,212.38,0.637,84.59,3.5,-53.5,27080,0
a0eefcff,98917,1779346578717,1,"2026-05-21 14:56:18",PLAY,TROT,SCRATCH,0.940,133.91,0.136,48.57,-6.0,-20.5,30090,0
a0eefcff,101927,1779346581728,1,"2026-05-21 14:56:21",PLAY,PLAY,SCRATCH,0.955,133.89,0.142,88.63,1.8,-23.6,33100,0
a0eefcff,104927,1779346584727,1,"2026-05-21 14:56:24",PLAY,TROT,SCRATCH,0.976,144.39,0.145,89.87,20.1,-50.7,36100,0
a0eefcff,107927,1779346587727,1,"2026-05-21 14:56:27",PLAY,PLAY,SCRATCH,0.994,2.51,0.170,157.41,-0.7,3.0,39100,0
a0eefcff,110937,1779346590738,1,"2026-05-21 14:56:30",PLAY,REST,NONE,0.994,2.39,0.000,0.05,-0.9,3.2,42110,0
a0eefcff,113946,1779346593747,1,"2026-05-21 14:56:33",PLAY,REST,NONE,0.995,2.47,0.001,0.04,-0.6,2.9,45120,3010
a0eefcff,116956,1779346596757,1,"2026-05-21 14:56:36",REST,REST,NONE,0.995,2.45,0.001,0.04,-0.5,3.0,0,6020
a0eefcff,119966,1779346599767,1,"2026-05-21 14:56:39",REST,REST,NONE,0.995,2.43,0.000,0.04,-0.5,2.8,3010,9030
a0eefcff,122976,1779346602777,1,"2026-05-21 14:56:42",REST,REST,NONE,0.994,2.41,0.001,0.04,-0.6,2.9,6020,12040
a0eefcff,125987,1779346605787,1,"2026-05-21 14:56:45",REST,REST,NONE,0.994,2.48,0.001,0.04,-0.5,2.8,9030,15050
a0eefcff,128996,1779346608797,1,"2026-05-21 14:56:48",REST,REST,NONE,0.995,2.45,0.001,0.03,-0.5,2.8,12040,18060
a0eefcff,132006,1779346611807,1,"2026-05-21 14:56:51",REST,REST,NONE,0.995,2.41,0.000,0.04,-0.5,2.9,15050,21070
a0eefcff,135016,1779346614817,1,"2026-05-21 14:56:54",REST,REST,NONE,0.995,2.45,0.000,0.04,-0.6,2.8,18060,24080
