boot_id,time_ms,epoch_ms,time_valid,time_str,state,candidate,event,acc,gyro,acc_std,gyro_std,pitch,roll,state_duration_ms,rest_like_ms
a0eefcff,138026,1779346617827,1,"2026-05-21 14:56:57",REST,REST,NONE,0.994,2.44,0.000,0.04,-0.6,2.9,21070,27090
a0eefcff,141037,1779346620837,1,"2026-05-21 14:57:00",REST,REST,NONE,0.994,2.41,0.000,0.05,-0.6,2.8,24080,30100
a0eefcff,144046,1779346623847,1,"2026-05-21 14:57:03",REST,REST,NONE,0.994,2.44,0.001,0.04,-0.6,2.9,27090,33110
a0eefcff,147056,1779346626857,1,"2026-05-21 14:57:06",REST,REST,NONE,0.995,2.45,0.001,0.04,-0.7,2.8,30100,36120
a0eefcff,150066,1779346629867,1,"2026-05-21 14:57:09",REST,REST,NONE,0.995,2.50,0.001,0.06,-0.6,2.8,33110,39130
a0eefcff,153076,1779346632877,1,"2026-05-21 14:57:12",REST,REST,NONE,0.994,2.38,0.000,0.04,-0.5,2.8,36120,42140
a0eefcff,156087,1779346635887,1,"2026-05-21 14:57:15",REST,REST,NONE,0.995,2.49,0.001,0.04,-0.6,2.8,39130,45150
a0eefcff,159096,1779346638897,1,"2026-05-21 14:57:18",REST,REST,NONE,0.994,2.51,0.001,0.04,-0.6,2.8,42140,48160
a0eefcff,162106,1779346641907,1,"2026-05-21 14:57:21",REST,REST,NONE,0.993,2.53,0.000,0.04,-0.5,2.6,45150,51170
a0eefcff,165116,1779346644917,1,"2026-05-21 14:57:24",REST,REST,NONE,0.994,2.46,0.001,0.04,-0.5,2.7,48160,54180
a0eefcff,168126,1779346647927,1,"2026-05-21 14:57:27",REST,REST,NONE,0.994,2.43,0.001,0.04,-0.5,2.7,51170,57190
a0eefcff,171137,1779346650937,1,"2026-05-21 14:57:30",REST,REST,NONE,0.995,2.47,0.000,0.05,-0.6,2.7,54180,60200
a0eefcff,174146,1779346653947,1,"2026-05-21 14:57:33",REST,REST,NONE,0.995,2.43,0.001,0.05,-0.5,2.7,57190,63210
a0eefcff,177156,1779346656957,1,"2026-05-21 14:57:36",REST,REST,NONE,0.994,2.51,0.000,0.05,-0.6,2.7,60200,66220
a0eefcff,180167,1779346659967,1,"2026-05-21 14:57:39",REST,REST,NONE,0.994,2.52,0.000,0.03,-0.7,2.7,63210,69230
a0eefcff,183176,1779346662977,1,"2026-05-21 14:57:42",REST,REST,NONE,0.995,2.44,0.001,0.05,-0.7,2.8,66220,72240
a0eefcff,186187,1779346665988,1,"2026-05-21 14:57:45",REST,REST,NONE,0.994,2.43,0.000,0.04,-0.7,2.7,69230,75250
