boot_id,time_ms,epoch_ms,time_valid,time_str,state,candidate,event,acc,gyro,acc_std,gyro_std,pitch,roll,state_duration_ms,rest_like_ms
a0eefcff,315606,1779346795407,1,"2026-05-21 14:59:55",REST,REST,NONE,0.994,2.48,0.001,0.07,-0.7,2.6,198650,204670
a0eefcff,318617,1779346798417,1,"2026-05-21 14:59:58",REST,REST,NONE,0.995,2.44,0.001,0.05,-0.7,2.6,201660,207680
a0eefcff,321626,1779346801427,1,"2026-05-21 15:00:01",REST,REST,NONE,0.994,2.49,0.001,0.04,-0.7,2.8,204670,210690
a0eefcff,324637,1779346804437,1,"2026-05-21 15:00:04",REST,REST,NONE,0.995,2.45,0.001,0.04,-0.8,2.7,207680,213700
a0eefcff,327646,1779346807447,1,"2026-05-21 15:00:07",REST,REST,NONE,0.994,2.42,0.001,0.04,-0.7,2.5,210690,216710
a0eefcff,330656,1779346810457,1,"2026-05-21 15:00:10",REST,REST,NONE,0.994,2.41,0.000,0.04,-0.8,2.7,213700,219720
a0eefcff,333667,1779346813467,1,"2026-05-21 15:00:13",REST,REST,NONE,0.995,2.40,0.000,0.06,-0.7,2.7,216710,222730
a0eefcff,336676,1779346816477,1,"2026-05-21 15:00:16",REST,REST,NONE,0.994,2.43,0.000,0.05,-0.7,2.6,219720,225740
a0eefcff,339687,1779346819487,1,"2026-05-21 15:00:19",REST,REST,NONE,0.995,2.43,0.000,0.05,-0.7,2.6,222730,228750
a0eefcff,342696,1779346822497,1,"2026-05-21 15:00:22",REST,REST,NONE,0.994,2.53,0.001,0.04,-0.7,2.7,225740,231760
a0eefcff,345706,1779346825507,1,"2026-05-21 15:00:25",REST,REST,NONE,0.994,2.42,0.001,0.05,-0.7,2.6,228750,234770
a0eefcff,348717,1779346828517,1,"2026-05-21 15:00:28",REST,REST,NONE,0.994,2.50,0.001,0.04,-0.8,2.7,231760,237780
a0eefcff,351726,1779346831527,1,"2026-05-21 15:00:31",REST,REST,NONE,0.995,2.58,0.001,0.12,-0.5,2.4,234770,240790
a0eefcff,354737,1779346834537,1,"2026-05-21 15:00:34",REST,REST,NONE,0.995,2.39,0.001,0.16,-0.7,2.6,237780,243800
a0eefcff,357746,1779346837547,1,"2026-05-21 15:00:37",REST,REST,NONE,0.995,2.41,0.001,0.05,-0.7,2.7,240790,246810
a0eefcff,360756,1779346840557,1,"2026-05-21 15:00:40",REST,REST,NONE,0.995,2.45,0.001,0.09,-0.7,2.5,243800,249820
a0eefcff,363767,1779346843567,1,"2026-05-21 15:00:43",REST,REST,NONE,0.994,2.43,0.000,0.05,-0.7,2.6,246810,252830
a0eefcff,366776,1779346846577,1,"2026-05-21 15:00:46",REST,REST,NONE,0.994,2.45,0.000,0.04,-0.7,2.6,249820,255840
